"","genes","logFC","logCPM","F","PValue","FDR"
"32064","Sp9",5.69934392959855,3.02039085197658,435.781518506759,1.10908733966941e-19,9.88299470039443e-19
"2803","Anapc5",-0.6857774856214,8.70084014039639,435.60456384149,1.11557172017817e-19,9.93386361396486e-19
"5885","Cuta",-1.24594343722877,5.63504769463011,435.52155964901,1.11862725460623e-19,9.95415010092616e-19
"3051","Arap2",1.22262921781027,6.35751487490636,435.365430920459,1.12439881721194e-19,9.99856031555477e-19
"23594","Map6",5.23011585275001,3.21883092842022,434.964165636207,1.13937828932702e-19,1.01247321268789e-18
"32675","Synrg",-1.23406340067622,6.33633364438636,442.88275226635,1.14629916024138e-19,1.01791683404237e-18
"25595","Mtx2",1.29907127460849,5.88536723508848,434.52990178517,1.15582944429831e-19,1.02566847084129e-18
"7518","F420015M19Rik",-3.54167654739632,3.17040950553307,434.372491089594,1.16185493552782e-19,1.03018694611887e-18
"29397","Ptbp3",-0.755918363886104,8.65298442509359,434.354900212711,1.16253036871672e-19,1.03018694611887e-18
"32786","Tardbp",-0.728960697068387,8.36527528331534,433.793706019372,1.18429945168004e-19,1.04875203864198e-18
"23613","Mapk8",1.30459023277816,5.62648013701956,433.667925362978,1.18923788182113e-19,1.05239744828746e-18
"4329","Casc4",8.03919184396908,2.76070708652907,433.475570448447,1.19683263809722e-19,1.05838687367644e-18
"20940","L3mbtl3",2.56336077696397,4.13043339364394,432.880825804933,1.22064358560789e-19,1.07869848955894e-18
